Id Label Location
1 Nuclear_Emergency_Plan_Director CommitteRoom
2 PENCRA_Director Loc_2
3 NSC_Inspector_at_Nuclear_Power_Station Loc_3
4 NSC_President Loc_4
5 Government_Presidency Loc_5
6 Ministry_of_Industry,_Energy_and_Tourism Loc_6
7 Ministry_of_Agriculture,_Food_and_Environment Loc_7
8 Ministry_of_Health Loc_8
9 Social_Services_and_Equality Loc_9
10 Department_of_Defense Loc_10
11 Advisory_Committee CommitteRoom
12 Information_and_Communication_Cabinet CommitteRoom
13 Radiological_Group_Head CommitteRoom
14 Health_Gruop_Head CommitteRoom
15 Logistical_Support_Group_Head CommitteRoom
16 Security_and_Public_Order_Group_Head CommitteRoom
17 Coordination_and_Technical_Assistance_Group_Head CommitteRoom
18 Emergency_Military_Unit CommitteRoom
19 Radiological_Control_Service_Head Loc_19
20 Dosimetry_Service_Head Loc_20
21 Enviromental_Monitoring_Service_Head Loc_21
22 Waste_Management_Service_Head Loc_22
23 Radiological_Control_Service_Team_D1 Loc_23
24 Radiological_Control_Service_Team_D2 Loc_24
25 Radiological_Control_Service_Team_D3 Loc_25
26 Radiological_Control_Service_Team_D4 Loc_26
27 Radiological_Control_Service_Team_D5 Loc_27
28 Radiological_Control_Service_Team_D6 Loc_28
29 Radiological_Control_Service_Team_D7 Loc_29
30 Radiological_Control_Service_Team_D8 Loc_30
31 Radiological_Control_Service_Team_D9 Loc_31
32 Radiological_Control_Service_Team_D10 Loc_32
33 Radiological_Control_Service_Team_D11 Loc_33
34 Radiological_Control_Service_Team_D12 Loc_34
35 Radiological_Control_Service_Team_DS1 Loc_35
36 Radiological_Control_Service_Team_DS2 Loc_36
37 Radiological_Control_Service_Team_DS3 Loc_37
38 Radiological_Control_Service_Team_DS4 Loc_38
39 Radiological_Control_Service_Team_DS5 Loc_39
40 Radiological_Control_Service_Team_DS6 Loc_40
41 Radiological_Control_Service_Team_DS7 Loc_41
42 Radiological_Control_Service_Team_DS8 Loc_42
43 Radiological_Control_Service_Team_DS9 Loc_43
44 Radiological_Control_Service_Team_DS10 Loc_44
45 Radiological_Control_Service_Team_DS11 Loc_45
46 Radiological_Control_Service_Team_DS12 Loc_46
47 Radiological_Control_Service_Team_DS13 Loc_47
48 Radiological_Control_Service_Team_DS14 Loc_48
49 Radiological_Control_Service_Team_DS15 Loc_49
50 Radiological_Control_Service_Team_DS16 Loc_50
51 Radiological_Control_Service_Team_DS17 Loc_51
52 Radiological_Control_Service_Team_DS18 Loc_52
53 Radiological_Control_Service_Team_DS19 Loc_53
54 Radiological_Control_Service_Team_DS20 Loc_54
55 Radiological_Control_Service_Team_DS21 Loc_55
56 Radiological_Control_Service_Team_DS22 Loc_56
57 Radiological_Control_Service_Team_DS23 Loc_57
58 Radiological_Control_Service_Team_DS24 Loc_58
59 Radiological_Control_Service_Team_DS25 Loc_59
60 Radiological_Control_Service_Team_ECDME Loc_60
61 Radiological_Control_Service_Team_ECDMP Loc_61
62 Radiological_Control_Service_Team_ECDBB Loc_62
63 Radiological_Control_Service_Team_ECDS1 Loc_63
64 Radiological_Control_Service_Team_ECDS2 Loc_64
65 Radiological_Control_Service_Team_ECDS3 Loc_65
66 Radiological_Control_Service_Team_ECDS4 Loc_66
67 Radiological_Control_Service_Team_ECDS5 Loc_67
68 Radiological_Control_Service_Team_ECDS6 Loc_68
69 Dosimetry_Service_Team_D1 Loc_69
70 Dosimetry_Service_Team_D2 Loc_70
71 Dosimetry_Service_Team_D3 Loc_71
72 Dosimetry_Service_Team_D4 Loc_72
73 Dosimetry_Service_Team_D5 Loc_73
74 Dosimetry_Service_Team_D6 Loc_74
75 Dosimetry_Service_Team_D7 Loc_75
76 Dosimetry_Service_Team_D8 Loc_76
77 Dosimetry_Service_Team_D9 Loc_77
78 Dosimetry_Service_Team_D10 Loc_78
79 Dosimetry_Service_Team_D11 Loc_79
80 Dosimetry_Service_Team_D12 Loc_80
81 Dosimetry_Service_Team_SD1 Loc_81
82 Dosimetry_Service_Team_SD2 Loc_82
83 Dosimetry_Service_Team_SD3 Loc_83
84 Dosimetry_Service_Team_SD4 Loc_84
85 Dosimetry_Service_Team_SD5 Loc_85
86 Dosimetry_Service_Team_SD6 Loc_86
87 Dosimetry_Service_Team_SD7 Loc_87
88 Dosimetry_Service_Team_SD8 Loc_88
89 Dosimetry_Service_Team_SD9 Loc_89
90 Dosimetry_Service_Team_SD10 Loc_90
91 Dosimetry_Service_Team_SD11 Loc_91
92 Dosimetry_Service_Team_SD12 Loc_92
93 Dosimetry_Service_Team_SD13 Loc_93
94 Dosimetry_Service_Team_SD14 Loc_94
95 Dosimetry_Service_Team_SD15 Loc_95
96 Dosimetry_Service_Team_SD16 Loc_96
97 Dosimetry_Service_Team_SD17 Loc_97
98 Dosimetry_Service_Team_SD18 Loc_98
99 Dosimetry_Service_Team_SD19 Loc_99
100 Dosimetry_Service_Team_SD20 Loc_100
101 Dosimetry_Service_Team_SD21 Loc_101
102 Dosimetry_Service_Team_SD22 Loc_102
103 Dosimetry_Service_Team_SD23 Loc_103
104 Dosimetry_Service_Team_SD24 Loc_104
105 Dosimetry_Service_Team_ECDME Loc_105
106 Dosimetry_Service_Team_ECDMP Loc_106
107 Dosimetry_Service_Team_ECDBB Loc_107
108 Dosimetry_Service_Team_ECDS1 Loc_108
