Id Label Location
1 Nuclear_Emergency_Plan_Director CommitteRoom
2 PENCRA_Director Loc_2
3 NSC_Inspector_at_Nuclear_Power_Station Loc_3
4 NSC_President Loc_4
5 Government_Presidency Loc_5
6 Ministry_of_Industry,_Energy_and_Tourism Loc_6
7 Ministry_of_Agriculture,_Food_and_Environment Loc_7
8 Ministry_of_Health Loc_8
9 Social_Services_and_Equality Loc_9
10 Department_of_Defense Loc_10
11 Advisory_Committee CommitteRoom
12 Information_and_Communication_Cabinet CommitteRoom
13 Radiological_Group_Head CommitteRoom
14 Health_Gruop_Head CommitteRoom
15 Logistical_Support_Group_Head CommitteRoom
16 Security_and_Public_Order_Group_Head CommitteRoom
17 Coordination_and_Technical_Assistance_Group_Head CommitteRoom
18 Emergency_Military_Unit CommitteRoom
